Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
Purdue Fort Wayne,Horizon,39,0.255,0.334,191,"1,328",339,63,9,537,39,177,128,33,9,13,368,29,15,10,31,6,
Quinnipiac,MAAC,35,0.268,0.363,216,"1,206",323,69,7,499,31,186,139,49,12,13,341,21,20,4,56,1,
Radford,Big South,40,0.275,0.381,231,"1,368",376,71,4,506,17,196,161,80,11,17,263,33,22,10,49,1,
Rhode Island,Atlantic 10,40,0.241,0.359,220,"1,343",323,63,5,507,37,201,175,80,12,11,415,24,15,6,25,3,
Rice,C-USA,40,0.247,0.351,207,"1,340",331,70,6,491,26,187,182,37,9,9,389,20,11,2,21,,
Richmond,Atlantic 10,36,0.306,0.393,276,"1,341",410,68,8,614,40,259,142,60,14,18,253,26,3,2,13,3,
Rider,MAAC,39,0.257,0.35,225,"1,347",346,48,8,518,36,201,155,46,13,14,306,23,18,1,32,3,
Rutgers,Big Ten,42,0.318,0.416,392,"1,555",494,101,14,785,54,357,213,63,19,19,303,25,9,2,37,2,
Sacramento St.,WAC,40,0.273,0.367,239,"1,332",363,71,7,586,46,219,172,44,31,10,327,30,6,2,17,1,
Sacred Heart,NEC,38,0.242,0.319,150,"1,291",312,57,4,419,14,136,129,24,12,9,330,34,13,3,35,1,
Saint Joseph's,Atlantic 10,38,0.311,0.411,320,"1,374",427,89,13,695,51,292,203,42,16,1,302,28,12,4,37,5,
Saint Louis,Atlantic 10,38,0.269,0.386,237,"1,246",335,65,8,497,27,205,198,50,17,12,250,27,6,3,38,1,
Saint Mary's (CA),WCC,41,0.277,0.364,257,"1,392",385,79,14,576,28,220,158,43,16,24,340,34,17,9,75,2,
Saint Peter's,MAAC,37,0.213,0.325,151,"1,171",250,51,8,359,14,130,163,32,5,6,395,17,5,3,12,,
Sam Houston,WAC,40,0.317,0.406,316,"1,407",446,83,19,666,33,290,168,58,22,13,290,28,13,6,38,5,
Samford,SoCon,38,0.256,0.355,208,"1,247",319,53,7,509,41,190,139,59,12,9,321,31,16,8,45,4,
San Diego,WCC,39,0.287,0.381,250,"1,355",389,71,4,561,31,226,162,52,15,14,252,38,25,5,50,9,
